Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
4157,PERIFERICO CUAUTITLAN,27853913,29,9/10/2019 16:00,7,812.4069565,9/10/2019 13:12
1083,BARRANCA DEL MUERTO,27853914,21,9/10/2019 16:00,7,1099.696957,9/10/2019 13:13
3862,AZCAPOTZALCO,27853915,45,9/10/2019 16:00,7,1686.766957,9/10/2019 13:12
2446,AVERANDA,27853916,30,9/10/2019 16:00,7,1849.526957,9/10/2019 13:13
1613,PLAYAS DE TIJUANA,27853917,27,9/10/2019 14:00,7,819.9969565,9/10/2019 13:12
3586,5 DE FEBRERO NORTE,27853918,64,9/10/2019 16:00,7,2118.446957,9/10/2019 13:12
3862,AZCAPOTZALCO,27853942,1,9/10/2019 16:00,7,89.29695652,9/10/2019 13:14
383,PUERTA TLATELOLCO,27853943,3,9/10/2019 16:00,7,292.0869565,9/10/2019 13:15
1003,PLAYA DEL CARMEN,27853944,1,9/10/2019 17:00,7,371.9469565,9/10/2019 13:16
3031,IRRIGACION,27853945,13,9/10/2019 16:00,7,413.7869565,9/10/2019 13:14
2382,INTERLOMAS,27853946,4,9/10/2019 16:00,7,1304.266957,9/10/2019 13:16
3846,BUENAVISTA,27853947,7,9/10/2019 19:00,7,347.42,9/10/2019 13:15
2670,TLALPAN,27853948,20,9/10/2019 21:00,7,589.1069565,9/10/2019 13:15
3533,Parque Guadiana,27853949,10,9/10/2019 19:00,7,338.0069565,9/10/2019 13:15
1770,PATIO SANTA FE,27853950,31,9/10/2019 16:00,7,921.8469565,9/10/2019 13:15
2346,AGUASCALIENTES,27853951,18,9/10/2019 16:00,7,833.9269565,9/10/2019 13:16
1460,CUEMANCO,27853952,26,9/10/2019 16:00,7,922.42,9/10/2019 13:15
1584,ESPACIO ESMERALDA,27853953,42,9/10/2019 17:00,7,1098.966957,9/10/2019 13:15
2380,CD OBREGON,27853955,6,9/10/2019 16:00,7,2874.1,9/10/2019 13:17
